,0,1,2,3
128,AbouOuways,9336769,Bronze 1,PROTOSS
129,Fridolin,9547945,Bronze 1,ZERG
130,sleepy,2167948,Bronze 1,TERRAN
131,JACKS,8964533,Bronze 1,RANDOM
132,KaimoShaman,7814560,Bronze 1,ZERG
133,Wellneon,5717949,Bronze 1,TERRAN
134,Gilbert,5431448,Bronze 1,TERRAN
135,destreg,5276923,Bronze 1,PROTOSS
136,Thorius,8467,Bronze 1,PROTOSS
137,TrebucheTfr,7275646,Bronze 1,PROTOSS
138,infinitycaos,5365785,Bronze 1,PROTOSS
139,microfejs,9177820,Bronze 1,PROTOSS
140,Javhor,4317762,Bronze 1,TERRAN
141,Alphar,3200674,Bronze 1,TERRAN
142,Erick,9092328,Bronze 1,TERRAN
143,Gigantol,9632770,Bronze 1,TERRAN
144,Shingo,9332645,Bronze 1,PROTOSS
145,Uriasz,9787510,Bronze 1,PROTOSS
146,Sirlight,8368744,Bronze 1,TERRAN
147,perdyito,4241146,Bronze 1,RANDOM
148,Kamino,1993524,Bronze 1,ZERG
149,DarkFrost,9170293,Bronze 1,ZERG
150,alexbbn,2515305,Bronze 1,TERRAN
151,vicky,9567184,Bronze 1,ZERG
152,ZavNIK,9869176,Bronze 1,TERRAN
153,Spee,2291541,Bronze 1,ZERG
154,Roplik,9912356,Bronze 1,ZERG
155,AleWhiteXD,8266409,Bronze 1,PROTOSS
156,Apollo,6957515,Bronze 1,TERRAN
157,AmsterDan,9458674,Bronze 1,TERRAN
158,carrot,9080891,Bronze 1,TERRAN
159,Myway,3404566,Bronze 1,TERRAN
160,Fox,9678512,Bronze 1,PROTOSS
161,Dernovoy,1303427,Bronze 1,ZERG
162,GUILLE,8727693,Bronze 1,ZERG
163,TommyR,9680541,Bronze 1,ZERG
164,BlackKing,2193534,Bronze 1,ZERG
165,pers,9175134,Bronze 1,PROTOSS
166,MagicTurtle,9757018,Bronze 1,TERRAN
167,Antônio,9614551,Bronze 1,ZERG
168,Blackmer,2388858,Bronze 1,PROTOSS
169,Litheron,2417383,Bronze 1,TERRAN
170,MrWoods,10138016,Bronze 1,TERRAN
171,Microspark,1944738,Bronze 1,PROTOSS
172,Fox,9678512,Bronze 1,TERRAN
173,Flip,5268658,Bronze 1,ZERG
174,Xsyber,7236147,Bronze 1,TERRAN
175,Dellan,7784683,Bronze 1,PROTOSS
176,Paragon,9836317,Bronze 1,TERRAN
177,VexuBg,10105219,Bronze 1,TERRAN
178,Gamega,2123753,Bronze 1,ZERG
179,HappyFeet,10104180,Bronze 1,PROTOSS
180,Kupson,9294333,Bronze 1,PROTOSS
181,Overlord,9984300,Bronze 1,TERRAN
182,Treehugger,1740435,Bronze 1,TERRAN
183,GreenWay,2247702,Bronze 1,PROTOSS
184,GrumpyKitten,7493473,Bronze 1,PROTOSS
185,BBGYIINewb,5525750,Bronze 1,ZERG
186,Минфиз,2423648,Bronze 1,PROTOSS
187,SunALM,2471801,Bronze 1,PROTOSS
188,FeanorRocky,4189714,Bronze 1,ZERG
189,Sergio,10111165,Bronze 1,PROTOSS
190,TNA,9925504,Bronze 1,TERRAN
191,Legenda,4118997,Bronze 1,TERRAN
192,Chii,830011,Bronze 1,PROTOSS
193,Pangloss,9967213,Bronze 1,ZERG
194,hotwing,1199634,Bronze 1,TERRAN
195,fluffyrabbit,9583556,Bronze 1,ZERG
196,RomaCat,4413890,Bronze 1,PROTOSS
197,drag,9942616,Bronze 1,RANDOM
198,SHAMSHAM,9872245,Bronze 1,TERRAN
199,Varadar,3610949,Bronze 1,ZERG
200,ROC,9457022,Bronze 1,TERRAN
201,DaniilOcr,2494152,Bronze 1,ZERG
202,DaniilOcr,2494152,Bronze 1,TERRAN
203,smok,7284438,Bronze 1,TERRAN
204,SteelBee,8883630,Bronze 1,TERRAN
205,stress,9814934,Bronze 1,TERRAN
206,павилитель,2435750,Bronze 1,TERRAN
207,MOI,4252649,Bronze 1,TERRAN
208,Dimonius,10090865,Bronze 1,RANDOM
209,Legueshhh,5040751,Bronze 1,ZERG
210,Rwan,8870183,Bronze 1,PROTOSS
211,Shrek,6282364,Bronze 1,TERRAN
212,BadasFrack,9570860,Bronze 1,TERRAN
213,Tomber,8563526,Bronze 1,ZERG
214,LeeQuQu,9155862,Bronze 1,PROTOSS
215,Telepyzik,9495440,Bronze 1,TERRAN
216,JetFire,9926517,Bronze 1,ZERG
217,yoyokill,378958,Bronze 1,ZERG
218,Deno,7818222,Bronze 1,RANDOM
219,Sayyadina,10139912,Bronze 1,ZERG
220,LeeQuQu,9155862,Bronze 1,ZERG
221,KingLui,1650859,Bronze 1,ZERG
222,ToxiCMan,9777951,Bronze 1,TERRAN
223,Dregsy,3891672,Bronze 1,PROTOSS
224,JOKER,10140151,Bronze 1,PROTOSS
225,Panda,9371288,Bronze 1,TERRAN
226,DarkSarah,9209894,Bronze 1,PROTOSS
227,GhostNerve,9683407,Bronze 1,TERRAN
228,rafacraft,8190956,Bronze 1,TERRAN
229,HNTI,4034347,Bronze 1,TERRAN
230,Smirnayga,530409,Bronze 1,TERRAN
231,KingOH,6350190,Bronze 1,ZERG
232,temcka,5725251,Bronze 1,PROTOSS
233,IIIIIIIII,8406931,Bronze 1,PROTOSS
234,fildopro,9102798,Bronze 1,PROTOSS
235,Rari,10082617,Bronze 1,TERRAN
236,архангел,7459262,Bronze 1,TERRAN
237,Lloyd,8235038,Bronze 1,TERRAN
238,VanCrite,2302471,Bronze 1,TERRAN
239,MEEp,7920999,Bronze 1,TERRAN
240,PiratProstak,9951201,Bronze 1,TERRAN
241,WhileFor,9918509,Bronze 1,TERRAN
242,beluga,7927469,Bronze 1,PROTOSS
243,JelleP,8413747,Bronze 1,PROTOSS
244,NOJAP,9067214,Bronze 1,PROTOSS
245,PACIU,9139771,Bronze 1,PROTOSS
246,ToRR,7781558,Bronze 1,TERRAN
247,Daemon,7780825,Bronze 1,PROTOSS
248,Kenpashi,10018845,Bronze 1,PROTOSS
249,Nosferatul,1388676,Bronze 1,PROTOSS
