,Name,playerid,league,FavoriteRace
129,Jaded,10195928,Bronze 1,PROTOSS
130,HotBalls,8728951,Bronze 1,ZERG
131,MoleRat,1698962,Bronze 1,ZERG
132,DJNAAILONG,8558977,Bronze 1,ZERG
133,Gryphon,9281151,Bronze 1,ZERG
134,Cristoforo,5744666,Bronze 1,RANDOM
135,Serviette,3007956,Bronze 1,TERRAN
136,leckyl,10163591,Bronze 1,TERRAN
137,AshNRulZ,1052821,Bronze 1,PROTOSS
138,MarsAttacks,8556931,Bronze 1,ZERG
139,rozimbabwe,4448612,Bronze 1,ZERG
140,NoMad,7276410,Bronze 1,TERRAN
141,Bubl,595232,Bronze 1,TERRAN
142,DARKNESS,9551715,Bronze 1,PROTOSS
143,Maratto,531351,Bronze 1,PROTOSS
144,Epigen,9387102,Bronze 1,TERRAN
145,MightyBeasT,423611,Bronze 1,PROTOSS
146,Tzull,9797476,Bronze 1,TERRAN
147,Frankoi,816873,Bronze 1,TERRAN
148,HeroRoach,8559240,Bronze 1,TERRAN
149,Gnurp,9544078,Bronze 1,ZERG
150,barcode,2424973,Bronze 1,TERRAN
151,CEthaNOOB,8327994,Bronze 1,TERRAN
152,Bhunivelze,3607779,Bronze 1,PROTOSS
153,Access,1701043,Bronze 1,ZERG
154,Keer,1830194,Bronze 1,TERRAN
155,SamoanJoe,589388,Bronze 1,TERRAN
156,AGENTZ,48161,Bronze 1,ZERG
157,шлло,9006991,Bronze 1,PROTOSS
158,NoseMan,7197185,Bronze 1,TERRAN
159,Morserte,1490709,Bronze 1,ZERG
160,Star,615903,Bronze 1,TERRAN
161,TNTan,9044637,Bronze 1,TERRAN
162,JornSnow,9152285,Bronze 1,ZERG
163,ElusiVe,9117693,Bronze 1,TERRAN
164,BigFudge,839996,Bronze 1,PROTOSS
165,Vision,9329779,Bronze 1,TERRAN
166,Hustler,9655602,Bronze 1,ZERG
167,Xsaos,6695631,Bronze 1,PROTOSS
168,Kjkalex,1831358,Bronze 1,PROTOSS
169,Nishpidral,401138,Bronze 1,RANDOM
170,anDERson,257053,Bronze 1,TERRAN
171,METHUSALEM,5721823,Bronze 1,RANDOM
172,Konrad,2519220,Bronze 1,ZERG
173,Cheddar,3086199,Bronze 1,TERRAN
174,Archonhaz,8075873,Bronze 1,PROTOSS
175,BlackGutsul,833065,Bronze 1,TERRAN
176,KalaVeijo,736540,Bronze 1,PROTOSS
177,TheFury,6188941,Bronze 1,ZERG
178,TrIIsKel,874850,Bronze 1,ZERG
179,KOR,9265441,Bronze 1,TERRAN
180,MirayGee,2148257,Bronze 1,ZERG
181,SirSouris,1003379,Bronze 1,PROTOSS
182,gtm,2304536,Bronze 1,TERRAN
183,Энди,2201782,Bronze 1,PROTOSS
184,bakacsin,3131008,Bronze 1,TERRAN
185,resc,8116470,Bronze 1,PROTOSS
186,Higway,3560645,Bronze 1,PROTOSS
187,Sauce,289276,Bronze 1,RANDOM
188,enuff,2014055,Bronze 1,TERRAN
189,laMouchejØe,8059708,Bronze 1,TERRAN
190,NightFury,2432182,Bronze 1,TERRAN
191,Mario,4918925,Bronze 1,PROTOSS
192,SannyKrocket,2949214,Bronze 1,TERRAN
193,Filipenko,189280,Bronze 1,TERRAN
194,Greenhill,38152,Bronze 1,TERRAN
195,Vetaput,1223157,Bronze 1,ZERG
196,DarkThunder,2087127,Bronze 1,PROTOSS
197,BabaYaga,8364632,Bronze 1,PROTOSS
198,Vaimler,2142754,Bronze 1,ZERG
199,CHIGURGH,1988471,Bronze 1,TERRAN
200,Champloo,2381638,Bronze 1,TERRAN
201,ALARM,369678,Bronze 1,PROTOSS
202,Tortor,9118968,Bronze 1,ZERG
203,BalecaNator,9536476,Bronze 1,PROTOSS
204,JHONKRAKOSES,8527795,Bronze 1,PROTOSS
205,XOso,248986,Bronze 1,TERRAN
206,PeakyBlinder,9368742,Bronze 1,ZERG
207,Levente,9013212,Bronze 1,TERRAN
208,Gunslinger,1696636,Bronze 1,TERRAN
209,Lexx,245982,Bronze 1,ZERG
210,JonGalindo,9589016,Bronze 1,ZERG
211,Betrethen,10030974,Bronze 1,TERRAN
212,Sanzerg,2500953,Bronze 1,ZERG
213,CashBack,1732562,Bronze 1,TERRAN
214,SpatialAgent,9729918,Bronze 1,TERRAN
215,Artur,5536086,Bronze 1,TERRAN
216,BlackPaladin,3437085,Bronze 1,TERRAN
217,Patrick,4554802,Bronze 1,PROTOSS
218,BBJN,10158619,Bronze 1,ZERG
219,Player,9294722,Bronze 1,ZERG
220,TerrMeUp,9522172,Bronze 1,TERRAN
221,joaklm,668722,Bronze 1,RANDOM
222,xtepopx,1528086,Bronze 1,TERRAN
223,ydear,1999212,Bronze 1,TERRAN
224,NineOneOne,2363247,Bronze 1,TERRAN
225,Erynnis,2362179,Bronze 1,TERRAN
226,Neurons,9282171,Bronze 1,PROTOSS
227,PoveLussy,6543406,Bronze 1,RANDOM
228,Fitzpleasure,8205739,Bronze 1,TERRAN
229,Anarchy,8749903,Bronze 1,PROTOSS
230,Rocky,1743718,Bronze 1,TERRAN
231,Etern,596595,Bronze 1,TERRAN
232,Rinar,9263288,Bronze 1,PROTOSS
233,avital,10118954,Bronze 1,ZERG
234,gizmatulin,5269271,Bronze 1,PROTOSS
235,Lunarius,941864,Bronze 1,TERRAN
236,SonyCulator,6545376,Bronze 1,ZERG
237,EnDOrFIncHIC,9012019,Bronze 1,RANDOM
238,tImMo,1478044,Bronze 1,ZERG
239,Sintelas,9079325,Bronze 1,TERRAN
240,vanOK,194557,Bronze 1,TERRAN
241,Mauzy,9326132,Bronze 1,ZERG
242,Zergherer,2843867,Bronze 1,RANDOM
243,orderstar,10291920,Bronze 1,TERRAN
244,Жадность,9557988,Bronze 1,RANDOM
245,eMarine,854665,Bronze 1,ZERG
246,Tokatakidada,10016421,Bronze 1,PROTOSS
247,Giant,1059715,Bronze 1,PROTOSS
248,Storr,815701,Bronze 1,ZERG
249,pimousse,403489,Bronze 1,TERRAN
250,Riddim,5002003,Bronze 1,ZERG
251,Masarykt,320723,Bronze 1,RANDOM
252,willkill,7601993,Bronze 1,PROTOSS
253,Erkki,3025909,Bronze 1,TERRAN
254,Strategg,2537846,Bronze 1,ZERG
255,xdreggelmeki,4652705,Bronze 1,PROTOSS
256,Lluls,638696,Bronze 1,PROTOSS
257,XiaoGuaiShou,8503154,Bronze 1,RANDOM
258,portoslemac,7402663,Bronze 1,PROTOSS
259,eddav,7890528,Bronze 1,PROTOSS
260,Eliza,8019074,Bronze 1,PROTOSS
261,Okarin,9087884,Bronze 1,TERRAN
262,PhilipJFry,138962,Bronze 1,TERRAN
263,Gufy,1706562,Bronze 1,PROTOSS
264,cykapower,1736553,Bronze 1,PROTOSS
265,SleepyZerg,1555275,Bronze 1,TERRAN
266,Pavel,4999638,Bronze 1,TERRAN
267,Grueffelo,9174290,Bronze 1,ZERG
268,LMqueen,8731155,Bronze 1,ZERG
269,Hellden,5063060,Bronze 1,TERRAN
270,Raava,9511845,Bronze 1,PROTOSS
271,Gniewosz,8058003,Bronze 1,ZERG
272,clane,1091259,Bronze 1,TERRAN
273,KWAZAR,10200876,Bronze 1,PROTOSS
274,IIIIIIIIIIII,2472249,Bronze 1,ZERG
275,djmaster,8310187,Bronze 1,PROTOSS
276,Etern,596595,Bronze 1,ZERG
277,Pakos,3537072,Bronze 1,TERRAN
278,LadiesChoicE,3002198,Bronze 1,ZERG
279,BruhMoment,7709659,Bronze 1,ZERG
280,DarkLight,9733150,Bronze 1,PROTOSS
281,VoidSpirit,10013364,Bronze 1,RANDOM
282,StormShadow,9949757,Bronze 1,ZERG
283,Matrixxxx,1576814,Bronze 1,TERRAN
284,kid,10282273,Bronze 1,TERRAN
285,КОТЕЙКА,889086,Bronze 1,PROTOSS
286,Palitox,8942352,Bronze 1,ZERG
287,Xpomocoma,127388,Bronze 1,RANDOM
288,Insekto,2041812,Bronze 1,ZERG
289,Magu,3038123,Bronze 1,PROTOSS
290,ElJeffo,2134183,Bronze 1,ZERG
291,BlackNogger,1420664,Bronze 1,TERRAN
292,ИКОНА,9298835,Bronze 1,ZERG
293,DarkLight,9733150,Bronze 1,RANDOM
294,CymanTD,489534,Bronze 1,TERRAN
295,jufr,10207867,Bronze 1,ZERG
296,Beorn,1333694,Bronze 1,TERRAN
297,Zarathustra,9633847,Bronze 1,ZERG
298,RacoD,658808,Bronze 1,TERRAN
299,Stryker,8829190,Bronze 1,PROTOSS
300,oeufalacoc,418218,Bronze 1,RANDOM
301,Avi,5074092,Bronze 1,TERRAN
302,mqgmv,579997,Bronze 1,TERRAN
303,Eikothan,853982,Bronze 1,PROTOSS
304,darkNUNO,6140356,Bronze 1,TERRAN
305,Menes,9483820,Bronze 1,RANDOM
306,Moustaki,2441549,Bronze 1,TERRAN
307,RIDER,8950381,Bronze 1,TERRAN
308,baskiz,8674407,Bronze 1,PROTOSS
309,Pwnjabi,9638964,Bronze 1,TERRAN
310,allruisPIG,6845271,Bronze 1,PROTOSS
311,maniekdziku,10135290,Bronze 1,PROTOSS
312,VIKING,2056959,Bronze 1,ZERG
313,LazyRat,8902634,Bronze 1,TERRAN
314,ThomasShelby,27473,Bronze 1,TERRAN
315,troufion,5163173,Bronze 1,PROTOSS
316,chupatetas,9181480,Bronze 1,RANDOM
317,vangeance,10040804,Bronze 1,ZERG
318,Luckу,2382716,Bronze 1,TERRAN
319,Pulvertoastm,9613634,Bronze 1,ZERG
320,Tassadar,5565531,Bronze 1,TERRAN
321,Savage,1247198,Bronze 1,PROTOSS
322,Panasratic,10457,Bronze 1,TERRAN
323,UnTubo,9838179,Bronze 1,PROTOSS
324,ImLoaD,9677445,Bronze 1,PROTOSS
325,LtCdrTeik,211234,Bronze 1,RANDOM
326,Anakin,8912159,Bronze 1,TERRAN
327,SimonCola,1599249,Bronze 1,ZERG
328,warlords,3429323,Bronze 1,PROTOSS
329,GeX,7033944,Bronze 1,PROTOSS
330,Hugin,8410221,Bronze 1,TERRAN
331,Skirit,4317073,Bronze 1,PROTOSS
332,Raynor,7292702,Bronze 1,ZERG
333,DerStu,8602182,Bronze 1,TERRAN
334,Umbra,2233977,Bronze 1,PROTOSS
335,Xusty,1777585,Bronze 1,ZERG
336,Perdunchik,10227027,Bronze 1,TERRAN
337,Zaborg,1818849,Bronze 1,RANDOM
338,adcsbane,7652469,Bronze 1,TERRAN
339,Tango,10087304,Bronze 1,ZERG
340,west,2354448,Bronze 1,TERRAN
341,Elander,5400990,Bronze 1,ZERG
342,Nevq,9259690,Bronze 1,TERRAN
343,kenny,934911,Bronze 1,PROTOSS
344,zerling,9548021,Bronze 1,ZERG
345,kkalmi,271716,Bronze 1,TERRAN
346,AitchKay,3225030,Bronze 1,ZERG
347,Alex,907811,Bronze 1,TERRAN
348,llllllllllll,10018624,Bronze 1,RANDOM
349,kype,7682723,Bronze 1,ZERG
350,GLHF,8673897,Bronze 1,TERRAN
351,Dreadfull,282893,Bronze 1,ZERG
352,spyder,9886859,Bronze 1,RANDOM
353,Nishpidral,401138,Bronze 1,ZERG
354,HighKalha,8498028,Bronze 1,ZERG
355,bobbiz,2315616,Bronze 1,TERRAN
356,youyoe,10100342,Bronze 1,PROTOSS
357,Soulklay,4577233,Bronze 1,TERRAN
358,Insekto,2041812,Bronze 1,PROTOSS
359,Giiwan,1445674,Bronze 1,TERRAN
360,BASURMANIN,1850813,Bronze 1,TERRAN
361,RedRooster,6063166,Bronze 1,PROTOSS
362,FireStorm,847565,Bronze 1,ZERG
363,BigPatata,10314529,Bronze 1,TERRAN
364,jöremias,8532640,Bronze 1,ZERG
365,TREMTT,1683106,Bronze 1,ZERG
366,Timberpank,2024344,Bronze 1,ZERG
367,HybRiDDark,1286728,Bronze 1,PROTOSS
368,NavVis,9155675,Bronze 1,TERRAN
369,Zwofel,1100618,Bronze 1,RANDOM
370,REm,9062536,Bronze 1,PROTOSS
371,Predator,315184,Bronze 1,TERRAN
372,polo,7253520,Bronze 1,TERRAN
373,lolix,8864919,Bronze 1,ZERG
374,piter,1811973,Bronze 1,ZERG
375,piter,1811973,Bronze 1,PROTOSS
376,skorpeon,10066764,Bronze 1,ZERG
377,DenSun,2434990,Bronze 1,TERRAN
378,Krosis,10251370,Bronze 1,PROTOSS
379,Deluxo,1968969,Bronze 1,RANDOM
380,Eagle,9889823,Bronze 1,ZERG
381,Blackout,2140146,Bronze 1,ZERG
382,VLAD,2287776,Bronze 1,TERRAN
383,Starkiller,6607988,Bronze 1,ZERG
384,zxcCOMMANDER,1930669,Bronze 1,ZERG
385,raul,5251637,Bronze 1,ZERG
386,artem,1814560,Bronze 1,RANDOM
387,PonceDeLeon,1389980,Bronze 1,PROTOSS
388,fran,3877013,Bronze 1,TERRAN
389,Quatrooks,8489189,Bronze 1,TERRAN
390,Badream,10045895,Bronze 1,RANDOM
391,Luc,2843200,Bronze 1,PROTOSS
392,PtahSeker,207429,Bronze 1,ZERG
393,Cooper,9153143,Bronze 1,TERRAN
394,Locke,2260046,Bronze 1,TERRAN
