,0,1,2,3
212,247185,Bronze,2,eu
213,247727,Bronze,2,eu
214,247545,Bronze,2,eu
215,248468,Bronze,2,eu
216,248310,Bronze,2,eu
217,248854,Bronze,2,eu
218,247364,Bronze,2,eu
219,247039,Bronze,2,eu
220,247714,Bronze,2,eu
221,247417,Bronze,2,eu
222,247988,Bronze,2,eu
223,247803,Bronze,2,eu
224,248545,Bronze,2,eu
225,247334,Bronze,2,eu
226,247268,Bronze,2,eu
227,246989,Bronze,2,eu
228,247623,Bronze,2,eu
229,247385,Bronze,2,eu
230,248009,Bronze,2,eu
231,247968,Bronze,2,eu
232,248691,Bronze,2,eu
233,247325,Bronze,2,eu
234,247115,Bronze,2,eu
235,247009,Bronze,2,eu
236,247581,Bronze,2,eu
237,248203,Bronze,2,eu
238,248638,Bronze,2,eu
239,248744,Bronze,2,eu
240,247558,Bronze,2,eu
241,248656,Bronze,2,eu
242,247201,Bronze,2,eu
243,246929,Bronze,2,eu
244,247847,Bronze,2,eu
245,248378,Bronze,2,eu
246,247213,Bronze,2,eu
247,247051,Bronze,2,eu
248,248065,Bronze,2,eu
249,247835,Bronze,2,eu
250,248239,Bronze,2,eu
251,248721,Bronze,2,eu
252,247438,Bronze,2,eu
253,248138,Bronze,2,eu
254,248042,Bronze,2,eu
255,247136,Bronze,2,eu
256,247026,Bronze,2,eu
257,247752,Bronze,2,eu
258,247641,Bronze,2,eu
259,247509,Bronze,2,eu
260,248154,Bronze,2,eu
261,248594,Bronze,2,eu
262,248331,Bronze,2,eu
263,248420,Bronze,2,eu
264,247250,Bronze,2,eu
265,247157,Bronze,2,eu
266,248113,Bronze,2,eu
267,247904,Bronze,2,eu
268,247864,Bronze,2,eu
269,248561,Bronze,2,eu
270,248284,Bronze,2,eu
271,248442,Bronze,2,eu
272,247348,Bronze,2,eu
273,247230,Bronze,2,eu
274,247102,Bronze,2,eu
275,247405,Bronze,2,eu
276,248088,Bronze,2,eu
277,247879,Bronze,2,eu
278,248525,Bronze,2,eu
279,248393,Bronze,2,eu
280,247170,Silver,1,eu
281,247769,Silver,1,eu
282,247690,Silver,1,eu
283,248194,Silver,1,eu
284,248022,Silver,1,eu
285,248724,Silver,1,eu
286,248327,Silver,1,eu
287,248230,Silver,1,eu
288,248348,Silver,1,eu
289,247403,Silver,1,eu
290,247116,Silver,1,eu
291,247569,Silver,1,eu
292,248200,Silver,1,eu
293,248082,Silver,1,eu
294,247985,Silver,1,eu
295,247916,Silver,1,eu
296,248775,Silver,1,eu
297,248395,Silver,1,eu
298,248491,Silver,1,eu
299,248241,Silver,1,eu
300,248334,Silver,1,eu
301,248661,Silver,1,eu
302,247759,Silver,1,eu
303,247661,Silver,1,eu
304,247525,Silver,1,eu
305,248168,Silver,1,eu
306,248095,Silver,1,eu
307,247877,Silver,1,eu
308,248785,Silver,1,eu
309,248412,Silver,1,eu
310,248502,Silver,1,eu
311,248588,Silver,1,eu
312,248304,Silver,1,eu
313,248630,Silver,1,eu
314,247376,Silver,1,eu
315,247100,Silver,1,eu
316,247841,Silver,1,eu
317,248150,Silver,1,eu
318,248052,Silver,1,eu
319,247891,Silver,1,eu
320,248754,Silver,1,eu
321,248380,Silver,1,eu
322,248601,Silver,1,eu
323,248319,Silver,1,eu
324,248641,Silver,1,eu
325,247440,Silver,1,eu
326,247362,Silver,1,eu
327,247249,Silver,1,eu
328,247811,Silver,1,eu
329,247740,Silver,1,eu
330,247638,Silver,1,eu
331,248061,Silver,1,eu
332,248762,Silver,1,eu
333,248390,Silver,1,eu
334,248475,Silver,1,eu
335,248648,Silver,1,eu
336,248805,Silver,1,eu
337,247454,Silver,1,eu
338,247323,Silver,1,eu
339,247826,Silver,1,eu
340,247801,Silver,1,eu
341,247622,Silver,1,eu
342,248133,Silver,1,eu
343,248026,Silver,1,eu
344,247960,Silver,1,eu
345,248813,Silver,1,eu
346,248534,Silver,1,eu
347,248652,Silver,1,eu
348,248374,Silver,1,eu
349,248444,Silver,1,eu
350,248290,Silver,1,eu
351,248858,Silver,1,eu
352,248707,Silver,1,eu
353,248896,Silver,1,eu
354,247340,Silver,1,eu
355,247211,Silver,1,eu
356,247003,Silver,1,eu
357,247712,Silver,1,eu
358,247580,Silver,1,eu
359,247468,Silver,1,eu
360,248141,Silver,1,eu
361,248046,Silver,1,eu
362,248822,Silver,1,eu
363,248544,Silver,1,eu
364,248625,Silver,1,eu
365,248339,Silver,1,eu
366,248451,Silver,1,eu
367,248251,Silver,1,eu
368,248864,Silver,1,eu
369,248671,Silver,1,eu
370,247423,Silver,1,eu
371,247292,Silver,1,eu
372,247198,Silver,1,eu
373,247669,Silver,1,eu
374,247587,Silver,1,eu
375,248103,Silver,1,eu
376,248510,Silver,1,eu
377,248422,Silver,1,eu
378,248357,Silver,1,eu
379,247937,Silver,1,eu
380,248836,Silver,1,eu
381,248871,Silver,1,eu
382,247412,Silver,1,eu
383,247307,Silver,1,eu
384,247781,Silver,1,eu
385,247679,Silver,1,eu
386,247653,Silver,1,eu
387,247549,Silver,1,eu
388,248206,Silver,1,eu
389,247991,Silver,1,eu
390,248799,Silver,1,eu
391,248521,Silver,1,eu
392,248436,Silver,1,eu
393,248689,Silver,1,eu
394,248404,Silver,1,eu
395,247903,Silver,1,eu
396,248846,Silver,1,eu
397,248732,Silver,1,eu
398,248581,Silver,1,eu
399,248886,Silver,1,eu
400,247149,Silver,1,eu
401,246931,Silver,1,eu
402,247836,Silver,1,eu
403,247555,Silver,1,eu
404,248173,Silver,1,eu
405,248004,Silver,1,eu
406,247909,Silver,1,eu
407,248851,Silver,1,eu
408,248487,Silver,1,eu
409,248703,Silver,1,eu
410,248216,Silver,1,eu
411,248745,Silver,1,eu
412,248552,Silver,1,eu
413,247388,Silver,1,eu
414,247282,Silver,1,eu
415,247071,Silver,1,eu
416,247850,Silver,1,eu
417,247751,Silver,1,eu
418,247631,Silver,1,eu
419,248185,Silver,1,eu
420,247966,Silver,1,eu
421,248224,Silver,1,eu
422,248714,Silver,1,eu
423,248560,Silver,1,eu
424,247264,Silver,1,eu
425,247816,Silver,1,eu
426,247721,Silver,1,eu
427,247538,Silver,1,eu
428,247505,Silver,1,eu
429,248069,Silver,1,eu
430,247975,Silver,1,eu
431,248831,Silver,1,eu
432,248466,Silver,1,eu
433,247858,Silver,1,eu
434,248311,Silver,1,eu
435,248275,Silver,1,eu
436,248680,Silver,1,eu
437,248565,Silver,1,eu
438,248616,Silver,1,eu
439,247353,Silver,1,eu
440,247726,Silver,1,eu
441,247699,Silver,1,eu
442,247603,Silver,1,eu
443,247518,Silver,1,eu
444,248159,Silver,1,eu
445,248037,Silver,1,eu
446,247946,Silver,1,eu
447,247868,Silver,1,eu
448,248878,Silver,1,eu
449,248779,Silver,1,eu
450,248621,Silver,1,eu
451,247229,Silver,1,eu
452,247055,Silver,1,eu
453,247790,Silver,1,eu
454,247610,Silver,1,eu
455,247474,Silver,1,eu
456,248124,Silver,1,eu
457,247953,Silver,1,eu
458,247926,Silver,1,eu
459,248741,Silver,1,eu
460,248458,Silver,1,eu
461,248260,Silver,1,eu
462,248529,Silver,1,eu
463,248365,Silver,1,eu
464,248794,Silver,1,eu
465,247433,Silver,1,eu
466,247333,Silver,1,eu
467,247032,Silver,1,eu
468,247490,Silver,1,eu
469,248114,Silver,1,eu
470,248013,Silver,1,eu
471,248426,Silver,1,eu
472,248554,Silver,1,eu
473,248267,Silver,1,eu
474,248609,Silver,1,eu
475,247390,Silver,2,eu
